非：├─ 车辆轨迹点  carid:12032 | 里程:1122682 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂EAB7812 (颜色:4) | 坐标: 114.04415130615234,30.92347526550293 | 速度: 55.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+682.5 | 航向角: 173.86281
非：├─ 车辆轨迹点  carid:12029 | 里程:1122339 | 时间：2025-03-21 22:11:29:958 | 车牌: 鄂A788H3 (颜色:0) | 坐标: 114.04386901855469,30.926565170288086 | 速度: 49.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+339 | 航向角: 359.4594
非：├─ 车辆轨迹点  carid:12030 | 里程:1123010 | 时间：2025-03-21 22:11:29:958 | 车牌: 鄂E81746 (颜色:0) | 坐标: 114.04585266113281,30.911590576171875 | 速度: 52.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1123+10 | 航向角: 173.80037

===================next news===================
非：├─ 车辆轨迹点  carid:12032 | 里程:1122722 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂EAB7812 (颜色:4) | 坐标: 114.04420471191406,30.92311668395996 | 速度: 55.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+722.5 | 航向角: 173.8605
非：├─ 车辆轨迹点  carid:12033 | 里程:1122803 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂AN9766 (颜色:0) | 坐标: 114.04430389404297,30.922395706176758 | 速度: 57.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+803 | 航向角: 173.9593
非：├─ 车辆轨迹点  carid:12034 | 里程:1122558 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂BS51N5 (颜色:5) | 坐标: 114.04402160644531,30.924592971801758 | 速度: 54.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+558 | 航向角: 355.20978
非：├─ 车辆轨迹点  carid:12035 | 里程:1122408 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂EA813K (颜色:0) | 坐标: 114.04389953613281,30.92593765258789 | 速度: 59.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+408.5 | 航向角: 358.24847
非：├─ 车辆轨迹点  carid:12038 | 里程:1122184 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂A6662L (颜色:0) | 坐标: 114.04386901855469,30.92796516418457 | 速度: 47.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+184 | 航向角: 173.90529
非：├─ 车辆轨迹点  carid:12039 | 里程:1122472 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E8AF67 (颜色:0) | 坐标: 114.04393768310547,30.925363540649414 | 速度: 57.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+472 | 航向角: 173.89331
非：├─ 车辆轨迹点  carid:12040 | 里程:1122013 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂A8YG19 (颜色:5) | 坐标: 114.04399108886719,30.92950439453125 | 速度: 49.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+13 | 航向角: 353.85715
非：├─ 车辆轨迹点  carid:12041 | 里程:1122211 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B74867 (颜色:2) | 坐标: 114.04386138916016,30.927715301513672 | 速度: 41.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+211.5 | 航向角: 353.88684
非：├─ 车辆轨迹点  carid:12044 | 里程:1122982 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B2AC11 (颜色:1) | 坐标: 114.04454040527344,30.92078971862793 | 速度: 49.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+982.5 | 航向角: 173.86249
非：├─ 车辆轨迹点  carid:12045 | 里程:1122014 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂A77445 (颜色:1) | 坐标: 114.04399108886719,30.92949676513672 | 速度: 51.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+14 | 航向角: 173.8248
非：├─ 车辆轨迹点  carid:12046 | 里程:1122277 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E5C1627 (颜色:4) | 坐标: 114.04385375976562,30.927120208740234 | 速度: 49.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+277.5 | 航向角: 353.99075
非：├─ 车辆轨迹点  carid:12047 | 里程:1122307 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂EE90L0 (颜色:0) | 坐标: 114.04386138916016,30.92685317993164 | 速度: 85.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+307 | 航向角: 353.8408
非：├─ 车辆轨迹点  carid:12050 | 里程:1122748 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂BSX942 (颜色:0) | 坐标: 114.04423522949219,30.922883987426758 | 速度: 52.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+748.5 | 航向角: 173.82399
非：├─ 车辆轨迹点  carid:12051 | 里程:1122660 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E2YZ20 (颜色:0) | 坐标: 114.04412841796875,30.923677444458008 | 速度: 47.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+660 | 航向角: 174.24939
非：├─ 车辆轨迹点  carid:12052 | 里程:1122543 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B854VC (颜色:5) | 坐标: 114.04400634765625,30.92472267150879 | 速度: 49.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+543.5 | 航向角: 353.87885
非：├─ 车辆轨迹点  carid:12053 | 里程:1122393 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E8NQX6 (颜色:9) | 坐标: 114.04389190673828,30.92607307434082 | 速度: 58.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+393.5 | 航向角: 353.99545
非：├─ 车辆轨迹点  carid:12056 | 里程:1122395 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂A1NHA0 (颜色:0) | 坐标: 114.04389190673828,30.92605972290039 | 速度: 46.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+395 | 航向角: 178.27751
非：├─ 车辆轨迹点  carid:12057 | 里程:1122492 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E587U0 (颜色:1) | 坐标: 114.04395294189453,30.92518424987793 | 速度: 55.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+492 | 航向角: 176.48485
非：├─ 车辆轨迹点  carid:12058 | 里程:1122747 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂ETXHH2 (颜色:1) | 坐标: 114.04423522949219,30.922897338867188 | 速度: 56.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+747 | 航向角: 353.90012
非：├─ 车辆轨迹点  carid:12059 | 里程:1122905 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂BRR4T74 (颜色:4) | 坐标: 114.04444122314453,30.92148208618164 | 速度: 42.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+905 | 航向角: 353.8973
非：├─ 车辆轨迹点  carid:12062 | 里程:1122162 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂BQ39606 (颜色:4) | 坐标: 114.04387664794922,30.928157806396484 | 速度: 51.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+162.5 | 航向角: 183.13513
非：├─ 车辆轨迹点  carid:12063 | 里程:1122117 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂BV7480J (颜色:4) | 坐标: 114.04389953613281,30.92856788635254 | 速度: 43.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+117 | 航向角: 183.80421
非：├─ 车辆轨迹点  carid:12064 | 里程:1123072 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂BH7T3G (颜色:0) | 坐标: 114.04593658447266,30.911035537719727 | 速度: 54.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1123+72 | 航向角: 353.81586
非：├─ 车辆轨迹点  carid:12065 | 里程:1123117 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂A0007K (颜色:0) | 坐标: 114.04598999023438,30.910633087158203 | 速度: 46.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1123+117 | 航向角: 353.80295
非：├─ 车辆轨迹点  carid:11865 | 里程:0 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂AVDM86 (颜色:2) | 坐标: 114.03587,30.848202 | 速度: 49.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 171.29489
非：├─ 车辆轨迹点  carid:11871 | 里程:0 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B0JOJ2 (颜色:0) | 坐标: 114.03473,30.855143 | 速度: 42.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 176.3686
非：├─ 车辆轨迹点  carid:11877 | 里程:0 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂ABZ116 (颜色:0) | 坐标: 114.034676,30.855768 | 速度: 44.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 177.37027
非：├─ 车辆轨迹点  carid:11883 | 里程:0 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B0826O (颜色:0) | 坐标: 114.03464,30.856426 | 速度: 60.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 178.27031
非：├─ 车辆轨迹点  carid:11888 | 里程:0 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂ETGW34 (颜色:0) | 坐标: 114.03559,30.849442 | 速度: 79.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 171.366
非：├─ 车辆轨迹点  carid:11889 | 里程:0 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂AKB7A4 (颜色:0) | 坐标: 114.03461,30.857029 | 速度: 64.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 178.89896
非：├─ 车辆轨迹点  carid:11894 | 里程:0 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B6N027 (颜色:1) | 坐标: 114.03547,30.850046 | 速度: 45.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 171.737
非：├─ 车辆轨迹点  carid:11895 | 里程:0 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂AKIT4L (颜色:6) | 坐标: 114.03459,30.857649 | 速度: 62.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 180.15315
非：├─ 车辆轨迹点  carid:11900 | 里程:0 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂AFI30V (颜色:3) | 坐标: 114.03535,30.850685 | 速度: 58.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 171.83818
非：├─ 车辆轨迹点  carid:11901 | 里程:0 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂BJ1H40 (颜色:0) | 坐标: 114.034584,30.858223 | 速度: 52.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 180.75005
非：├─ 车辆轨迹点  carid:11906 | 里程:0 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B247T06 (颜色:4) | 坐标: 114.03455,30.857426 | 速度: 63.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 179.49107
非：├─ 车辆轨迹点  carid:11907 | 里程:0 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E22AY6 (颜色:2) | 坐标: 114.03488,30.86297 | 速度: 48.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 187.52017
非：├─ 车辆轨迹点  carid:11912 | 里程:0 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂AB5985 (颜色:0) | 坐标: 114.034546,30.858135 | 速度: 60.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 180.66833
非：├─ 车辆轨迹点  carid:11913 | 里程:1126524 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂AC3115 (颜色:9) | 坐标: 114.04011535644531,30.880657196044922 | 速度: 61.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 188.42892
非：├─ 车辆轨迹点  carid:11918 | 里程:0 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂AIO3F5 (颜色:5) | 坐标: 114.034546,30.858707 | 速度: 58.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 181.46541
非：├─ 车辆轨迹点  carid:11919 | 里程:1126524 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E875SF (颜色:0) | 坐标: 114.04011535644531,30.880657196044922 | 速度: 54.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 189.3093
非：├─ 车辆轨迹点  carid:11924 | 里程:1126524 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E04M44 (颜色:1) | 坐标: 114.04011535644531,30.880657196044922 | 速度: 69.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 194.67763
非：├─ 车辆轨迹点  carid:11925 | 里程:1126524 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B88G9M (颜色:1) | 坐标: 114.04011535644531,30.880657196044922 | 速度: 48.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.41824
非：├─ 车辆轨迹点  carid:11930 | 里程:1126524 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B91727 (颜色:0) | 坐标: 114.04011535644531,30.880657196044922 | 速度: 55.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 195.45816
非：├─ 车辆轨迹点  carid:11931 | 里程:1126524 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂EA8U86 (颜色:0) | 坐标: 114.04011535644531,30.880657196044922 | 速度: 50.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.37733
非：├─ 车辆轨迹点  carid:11936 | 里程:1126524 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂AK9197 (颜色:6) | 坐标: 114.04011535644531,30.880657196044922 | 速度: 55.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 196.73659
非：├─ 车辆轨迹点  carid:11937 | 里程:1126524 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E65P05 (颜色:0) | 坐标: 114.04011535644531,30.880657196044922 | 速度: 46.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.30724
非：├─ 车辆轨迹点  carid:11942 | 里程:1126524 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂A8299Y (颜色:1) | 坐标: 114.04011535644531,30.880657196044922 | 速度: 58.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.37852
非：├─ 车辆轨迹点  carid:11943 | 里程:1126524 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂BP93N5 (颜色:1) | 坐标: 114.04011535644531,30.880657196044922 | 速度: 69.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.42444
非：├─ 车辆轨迹点  carid:11948 | 里程:1126524 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B3C588 (颜色:0) | 坐标: 114.04011535644531,30.880657196044922 | 速度: 51.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.31306
非：├─ 车辆轨迹点  carid:11949 | 里程:1126524 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B16489 (颜色:1) | 坐标: 114.04011535644531,30.880657196044922 | 速度: 70.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+524.5 | 航向角: 197.31355
非：├─ 车辆轨迹点  carid:11954 | 里程:1126357 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂BLUBUT (颜色:2) | 坐标: 114.04060363769531,30.882102966308594 | 速度: 63.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1126+357.5 | 航向角: 197.40569
非：├─ 车辆轨迹点  carid:11955 | 里程:1126496 | 时间：2025-03-21 22:11:30:121 | 车牌: 京E42295C (颜色:4) | 坐标: 114.04019927978516,30.880903244018555 | 速度: 46.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+496 | 航向角: 197.1905
非：├─ 车辆轨迹点  carid:11960 | 里程:1126283 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂ED2L3N (颜色:5) | 坐标: 114.04082489013672,30.882741928100586 | 速度: 40.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1126+283.5 | 航向角: 197.36275
非：├─ 车辆轨迹点  carid:11961 | 里程:1126432 | 时间：2025-03-21 22:11:30:121 | 车牌: 京EL18733 (颜色:4) | 坐标: 114.04039001464844,30.881458282470703 | 速度: 67.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+432 | 航向角: 197.1988
非：├─ 车辆轨迹点  carid:11966 | 里程:1126214 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B4G27K (颜色:0) | 坐标: 114.04103088378906,30.883344650268555 | 速度: 56.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1126+214 | 航向角: 197.3735
非：├─ 车辆轨迹点  carid:11967 | 里程:1126362 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B4Z535W (颜色:4) | 坐标: 114.04058837890625,30.88205909729004 | 速度: 58.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+362.5 | 航向角: 197.41475
非：├─ 车辆轨迹点  carid:11972 | 里程:1125715 | 时间：2025-03-21 22:11:30:121 | 车牌: 豫B16VN6L (颜色:4) | 坐标: 114.0425033569336,30.887657165527344 | 速度: 54.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1125+715.5 | 航向角: 197.2524
非：├─ 车辆轨迹点  carid:11973 | 里程:1126069 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B3X33A (颜色:5) | 坐标: 114.04145812988281,30.884593963623047 | 速度: 58.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1126+69.5 | 航向角: 197.29811
非：├─ 车辆轨迹点  carid:11976 | 里程:1125422 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂EU695J (颜色:0) | 坐标: 114.04336547851562,30.89019775390625 | 速度: 49.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1125+422 | 航向角: 197.37445
非：├─ 车辆轨迹点  carid:11978 | 里程:1125285 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂A5E9H0 (颜色:0) | 坐标: 114.04376983642578,30.891382217407227 | 速度: 49.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1125+285 | 航向角: 197.40935
非：├─ 车辆轨迹点  carid:11979 | 里程:1125458 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B7619Q (颜色:0) | 坐标: 114.04325866699219,30.88988494873047 | 速度: 45.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1125+458 | 航向角: 197.37997
非：├─ 车辆轨迹点  carid:11984 | 里程:1125204 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂ALL315 (颜色:2) | 坐标: 114.04401397705078,30.8920841217041 | 速度: 72.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1125+204 | 航向角: 197.29001
非：├─ 车辆轨迹点  carid:11985 | 里程:1125392 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂A7VR71 (颜色:9) | 坐标: 114.04345703125,30.890453338623047 | 速度: 58.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1125+392.5 | 航向角: 197.39233
非：├─ 车辆轨迹点  carid:11990 | 里程:1125137 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂EZRC7R (颜色:6) | 坐标: 114.0442123413086,30.892663955688477 | 速度: 59.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1125+137 | 航向角: 197.34578
非：├─ 车辆轨迹点  carid:11991 | 里程:1124089 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E0GE61 (颜色:1) | 坐标: 114.04640197753906,30.901893615722656 | 速度: 48.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1124+89.5 | 航向角: 185.39917
非：├─ 车辆轨迹点  carid:11996 | 里程:1124333 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂AAD5A6 (颜色:0) | 坐标: 114.04612731933594,30.89971160888672 | 速度: 51.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1124+333 | 航向角: 188.88884
非：├─ 车辆轨迹点  carid:11997 | 里程:1124015 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂A91LTW (颜色:0) | 坐标: 114.04644775390625,30.902563095092773 | 速度: 61.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1124+15 | 航向角: 184.31282
非：├─ 车辆轨迹点  carid:12002 | 里程:1124232 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B40441 (颜色:0) | 坐标: 114.04625701904297,30.900609970092773 | 速度: 55.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1124+232.5 | 航向角: 187.41164
非：├─ 车辆轨迹点  carid:12003 | 里程:1123950 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B2979T (颜色:6) | 坐标: 114.0464859008789,30.90314292907715 | 速度: 50.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1123+950.5 | 航向角: 183.56076
非：├─ 车辆轨迹点  carid:12008 | 里程:1123791 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂EUYY8L (颜色:0) | 坐标: 114.04652404785156,30.90457534790039 | 速度: 64.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1123+791.5 | 航向角: 181.1016
非：├─ 车辆轨迹点  carid:12009 | 里程:1123275 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E584G8 (颜色:3) | 坐标: 114.04619598388672,30.90921401977539 | 速度: 42.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1123+275.5 | 航向角: 174.39902
非：├─ 车辆轨迹点  carid:12014 | 里程:1123708 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E5E6IE (颜色:0) | 坐标: 114.04651641845703,30.90532875061035 | 速度: 56.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1123+708 | 航向角: 179.82834
非：├─ 车辆轨迹点  carid:12015 | 里程:1123207 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E7G41R (颜色:1) | 坐标: 114.04611206054688,30.909822463989258 | 速度: 46.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1123+207.5 | 航向角: 174.04604
非：├─ 车辆轨迹点  carid:12016 | 里程:1122182 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E994F7 (颜色:0) | 坐标: 114.04386901855469,30.927978515625 | 速度: 43.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+182.5 | 航向角: 2.882202
非：├─ 车辆轨迹点  carid:12017 | 里程:1121881 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂A4VL7M (颜色:2) | 坐标: 114.04414367675781,30.93068504333496 | 速度: 49.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1121+881.5 | 航向角: 8.685539
非：├─ 车辆轨迹点  carid:12018 | 里程:1123240 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂A8E297 (颜色:0) | 坐标: 114.04615020751953,30.909526824951172 | 速度: 44.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1123+240.5 | 航向角: 174.2524
非：├─ 车辆轨迹点  carid:12020 | 里程:1122888 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂A99E04 (颜色:1) | 坐标: 114.04441833496094,30.921630859375 | 速度: 45.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+888.5 | 航向角: 173.93385
非：├─ 车辆轨迹点  carid:12021 | 里程:1123001 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂B525Y0 (颜色:0) | 坐标: 114.04584503173828,30.911670684814453 | 速度: 41.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1123+1 | 航向角: 173.88304
非：├─ 车辆轨迹点  carid:12022 | 里程:1122400 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂A6DO11 (颜色:0) | 坐标: 114.04389190673828,30.926010131835938 | 速度: 58.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+400.5 | 航向角: 358.13815
非：├─ 车辆轨迹点  carid:12023 | 里程:1122001 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂AM7920 (颜色:1) | 坐标: 114.04399871826172,30.92961311340332 | 速度: 53.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+1 | 航向角: 6.682037
非：├─ 车辆轨迹点  carid:12026 | 里程:1122792 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂EFC0P3 (颜色:2) | 坐标: 114.04429626464844,30.922494888305664 | 速度: 40.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+792 | 航向角: 173.95888
非：├─ 车辆轨迹点  carid:12027 | 里程:1122935 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E25B3LW (颜色:4) | 坐标: 114.04447937011719,30.92120933532715 | 速度: 53.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+935.5 | 航向角: 173.91072
非：├─ 车辆轨迹点  carid:12028 | 里程:1122473 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E9S920 (颜色:0) | 坐标: 114.04393768310547,30.925355911254883 | 速度: 43.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+473 | 航向角: 356.7298
非：├─ 车辆轨迹点  carid:12029 | 里程:1122337 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂A788H3 (颜色:0) | 坐标: 114.04386901855469,30.926578521728516 | 速度: 49.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+337.5 | 航向角: 359.5012
非：├─ 车辆轨迹点  carid:12030 | 里程:1123010 | 时间：2025-03-21 22:11:30:121 | 车牌: 鄂E81746 (颜色:0) | 坐标: 114.04585266113281,30.911590576171875 | 速度: 52.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1123+10 | 航向角: 173.79715

===================next news===================
非：├─ 车辆轨迹点  carid:12032 | 里程:1122724 | 时间：2025-03-21 22:11:30:285 | 车牌: 鄂EAB7812 (颜色:4) | 坐标: 114.04420471191406,30.92310333251953 | 速度: 55.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+724 | 航向角: 173.90771
非：├─ 车辆轨迹点  carid:12033 | 里程:1122805 | 时间：2025-03-21 22:11:30:285 | 车牌: 鄂AN9766 (颜色:0) | 坐标: 114.0443115234375,30.922378540039062 | 速度: 57.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+805 | 航向角: 173.95526
非：├─ 车辆轨迹点  carid:12034 | 里程:1122556 | 时间：2025-03-21 22:11:30:285 | 车牌: 鄂BS51N5 (颜色:5) | 坐标: 114.04402160644531,30.924610137939453 | 速度: 54.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+556 | 航向角: 355.22964
非：├─ 车辆轨迹点  carid:12035 | 里程:1122406 | 时间：2025-03-21 22:11:30:285 | 车牌: 鄂EA813K (颜色:0) | 坐标: 114.04389953613281,30.925954818725586 | 速度: 59.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+406.5 | 航向角: 358.25424
非：├─ 车辆轨迹点  carid:12038 | 里程:1122185 | 时间：2025-03-21 22:11:30:285 | 车牌: 鄂A6662L (颜色:0) | 坐标: 114.04386901855469,30.92795181274414 | 速度: 47.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+185.5 | 航向角: 173.90627
非：├─ 车辆轨迹点  carid:12039 | 里程:1122473 | 时间：2025-03-21 22:11:30:285 | 车牌: 鄂E8AF67 (颜色:0) | 坐标: 114.04393768310547,30.925350189208984 | 速度: 57.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+473.5 | 航向角: 173.88864
